ID_RETRO,ID_FANGRAPHS,LAST_NAME,GIVEN_NAME
albio001,16556,Albies,Ozhaino Jurdy Jiandro
alboe101,1000106,Albosta,Edward John
albre101,1000107,Albrecht,Edward Arthur
albrj101,1000108,Albright,Harold John
albua001,6324,Alburquerque,Alberto Jose
albuv101,1000109,Albury,Victor
alcas101,1000110,Alcala,Santo
alcaa001,10711,Alcantara,Arismendy
alcai001,1558,Alcantara,Israel
alcar001,12790,Alcantara,Raul
alcas001,18684,Alcantara,Sandy
alcav001,15028,Alcantara,Victor Alfonso
alcal101,1000111,Alcaraz,Angel Luis
alcos101,1000112,Alcock,John Forbes
alded101,1000113,Alderson,Dale Leonard
aldrs001,1000115,Aldred,Scott Phillip
aldrm001,1000114,Aldrete,Michael Peter
aldrj001,1000117,Aldrich,Jay Robert
aldrc001,1405,Aldridge,Cory Jerome
aldrv101,1000118,Aldridge,Victor
alenc101,1000119,Aleno,Charles
alexb101,1000120,Alexander,Robert Somerville
alexd101,1000121,Alexander,David Dale
alexd001,1000122,Alexander,Doyle Lafayette
alexg101,1000123,Alexander,Gary Wayne
alexg001,1000124,Alexander,Gerald Paul
alexh101,1000125,Alexander,Hugh
alexm001,1954,Alexander,Manuel de Jesus
alexm101,1000126,Alexander,Matthew
alexn101,1000127,Alexander,William Henry
alexg102,1000128,Alexander,Grover Cleveland
alexs001,10591,Alexander,Scott Alain
alexw101,1000129,Alexander,Walter Ernest
alfaj001,2388,Alfaro,Jason
alfaj002,12180,Alfaro,Jorge Mario
alfoa001,260,Alfonseca,Antonio
alfoe001,859,Alfonzo,Edgardo Antonio
alfoe002,2331,Alfonzo,Eliezer Jesus
alfoa002,14329,Alford,Anthony Joseph
alicl001,584,Alicea,Luis Rene
allaa001,1000130,Allanson,Andrew Neal
allab101,1000131,Allard,Brian Marshall
NULL,18694,Allard,Kolby Kenneth
alleb105,1000132,Allen,Bernard Keith
alleb103,1000133,Allen,Robert Gilman
alleb104,1000134,Allen,Robert
alleb102,1000135,Allen,Robert Earl
alleb101,1000136,Allen,Robert Gray
alleb001,7436,Allen,Brandon Durell
allec001,122,Allen,John Chad
allec002,12183,Allen,Cody Edward
alled101,1000137,Allen,Richard Anthony
alled001,1000138,Allen,Dustin R.
allee101,1000139,Allen,Ethan Nathan
allef101,1000140,Allen,Frank Leon
alleg002,16623,Allen,Gregory Lomack
alleh102,1000142,Allen,Frank Erwin
alleh104,1000143,Allen,Harold Andrew
alleh103,1000144,Allen,Hezekiah
alleh101,1000145,Allen,Horace Tanner
allej103,1000146,Allen,Cyrus Alban
allej101,1000147,Allen,James Bradley
allej104,1000149,Allen,John Marshall
allej102,1000150,Allen,John Thomas
allek101,1000151,Allen,Kim Bryant
allel101,1000152,Allen,Lloyd Cecil
allel001,1586,Allen,Lucas Gale
allem101,1000153,Allen,Myron Smith
allen001,1000154,Allen,Neil Patrick
allen101,1000155,Allen,Artemus Ward
allep101,1000156,Allen,Jesse Hall
aller001,1000158,Allen,Roderick Bernet
aller101,1000157,Allen,Ronald Frederick
alles101,1000159,Allen,Fletcher Manson
alleg001,1000141,Allenson,Gary Martin
allej001,1000148,Allensworth,Jermaine LaMont
alleg101,1000160,Alley,Leonard Eugene
allig101,1000162,Allie,Gair Roosevelt
allib101,1000161,Allietta,Robert George
allia102,1000163,Allison,Andrew Kent
allia101,1000164,Allison,Arthur Algernon
allib102,1000165,Allison,William
allib103,1000166,Allison,William Robert
allid001,1000167,Allison,Dana Eric
allid101,1000168,Allison,Douglas L.
allim102,1000169,Allison,Mack Pendleton
allim101,1000170,Allison,Milo Henry
allrb001,1000171,Allred,Dale LeBeau
almam101,1000172,Almada,Baldomero Melo
almaa001,507,Almanza,Armando
almac001,308,Almanzar,Carlos Manuel
almer101,1000173,Almeida,Rafael D.
almob001,1000174,Almon,William Francis
almoa001,5486,Almonte,Abraham
almoe002,1764,Almonte,Edwin
almoe001,808,Almonte,Erick R.
almoh001,1729,Almonte,Hector Radhames
almom001,14139,Almonte,Miguel Emilio
NULL,15068,Almonte,Yency
almoz001,6732,Almonte,Zoilo Manuel
almoa002,14109,Almora,Reinaldo Albert
aloml101,1000175,Aloma,Luis
alomr001,860,Alomar,Roberto
aloms001,221,Alomar,Santos
aloms101,1000176,Alomar,Santos
alony001,2530,Alonso,Yonder
alouf101,1000177,Alou,Felipe Rojas
alouj101,1000178,Alou,Jesus Maria Rojas
aloum101,1000179,Alou,Mateo Rojas
aloum001,261,Alou,Moises Rojas
alpew101,1000180,Alpermann,Charles Augustus
alstd101,1000181,Alston,Wendell
alstg001,1000182,Alston,Garvin James
alstt101,1000183,Alston,Thomas Edison
alstw101,1000184,Alston,Walter Emmons
altap001,1000185,Altamirano,Porfirio
altad001,16507,Altavilla,Daniel
altee101,1000186,Alten,Ernest Matthias
altej101,1000187,Altenburg,Jesse Howard
altha001,11270,Altherr,Aaron Samuel
altid101,1000188,Altizer,David Tilden
altmg101,1000189,Altman,George Lee
altoj101,1000190,Altobelli,Joseph Salvatore
altrn101,1000191,Altrock,Nicholas
altuj001,5417,Altuve,Jose Carlos
alusg101,1000192,Alusik,George Joseph
alvaj004,17780,Alvarado,Jose Antonio
alval101,1000196,Alvarado,Luis Cesar
alvaa001,6259,Alvarez,Abraham
alvac001,1000193,Alvarez,Clemente Rafael
alvad002,15580,Alvarez,Dariel
alvad001,14239,Alvarez,Dario Rafael
alvag001,1000194,Alvarez,Gabriel de Jesus
alvah001,5669,Alvarez,Henderson Javier
alvaj003,5358,Alvarez,Jose Ricardo
alvaj001,1000195,Alvarez,Jose Lino
alvaj002,1432,Alvarez,Juan M.
alvao102,1000197,Alvarez,Jesus Manuel Orlando
alvao101,1000198,Alvarez,Oswaldo
alvap001,2495,Alvarez,Pedro Manuel
alvar001,13401,Alvarez,Roy Emilio
alvar101,1000199,Alvarez,Rogelio
alvat001,1000200,Alvarez,Cesar Octavio
alvat002,1587,Alvarez,Antonio Enrique
alvav001,1559,Alvarez,Victor Aurelio
alvaw001,1193,Alvarez,Wilson Eduardo
alvim101,1000201,Alvis,Roy Maxwell
alvob101,1000202,Alvord,William Crawford
alyeb101,1000203,Alyea,Garrabrant Ryerson
amalj101,1000204,Amalfitano,John Joseph
amarr001,1000205,Amaral,Richard Louis
amara001,9063,Amarista,Alexi Jose
amarr002,1000207,Amaro,Ruben
amarr101,1000206,Amaro,Ruben
amblw101,1000208,Ambler,Wayne Harper
ambrc001,2042,Ambres,Raymond Payne
ambrh001,559,Ambriz,Hector
amele001,1000209,Amelung,Edward Allen
amesr101,1000210,Ames,Leon Kessling
amess001,9615,Ames,Steven C.
ameza001,1,Amezaga,Alfredo
amold101,1000211,Amole,Morris F.
amorv101,1000213,Amor,Vicente
amors101,1000212,Amoros,Edmundo
anckw101,1000214,Ancker,Walter
andel001,1000236,Andersen,Larry Eugene
andea102,1000215,Anderson,Alfred Walton
andea001,1000216,Anderson,Allan Lee
andea101,1000217,Anderson,Andy Holm
andeb103,1000218,Anderson,William Edward
andeb102,1000219,Anderson,Robert Carl
andeb001,364,Anderson,Brady Kevin
andeb004,8223,Anderson,Brett Franklin
andeb006,18289,Anderson,Brian Wade
andeb002,44,Anderson,Brian James
andeb003,6144,Anderson,Brian Nikola
andeb005,9871,Anderson,Bryan Douglas
andeb101,1000220,Anderson,Karl Adam
andec001,6895,Anderson,Robert Chase
andec002,12799,Anderson,Cody Andrew
andec101,1000221,Anderson,Norman Craig
anded001,1000223,Anderson,David Carter
anded102,1000222,Anderson,David S.
