NAME,PLAYERID,TEAM_1,TEAM_2,WINS,LOSSES,SAVES,GAMES_PITCHED,GAMES_STARTED,INNINGS_PITCHED,STRIKEOUTS_PER_NINE_INNINGS,WALKS_PER_NINE_INNINGS,HOME_RUNS_PER_NINE_INNINGS,BABIP,LEFT_ON_BASE_PERCENT,GROUND_BALL_PERCENT,HOME_RUN_TO_FLY_BALL,EARNED_RUN_AVERAGE,FIELDING_INDEPENDENT_PITCHING,EXPECTED_FIELDING_INDEPENDENT_PITCHING,WINS_ABOVE_REPLACEMENT
Clayton Kershaw,2036,LAD,NULL,16,9,0,33,33,236,8.85,1.98,0.42,0.251,80.6 %,46.0 %,5.8 %,1.83,2.39,2.88,7.1
Adam Wainwright,2233,STL,NULL,19,9,0,34,34,241.2,8.16,1.3,0.56,0.305,74.5 %,49.1 %,8.1 %,2.94,2.55,2.8,6.6
Matt Harvey,11713,NYM,NULL,9,5,0,26,26,178.1,9.64,1.56,0.35,0.28,77.4 %,47.7 %,4.7 %,2.27,2,2.63,6.5
Max Scherzer,3137,DET,NULL,21,3,0,32,32,214.1,10.08,2.35,0.76,0.259,74.4 %,36.3 %,7.6 %,2.9,2.74,3.16,6.1
Anibal Sanchez,3284,DET,NULL,14,8,0,29,29,182,9.99,2.67,0.45,0.307,78.2 %,45.4 %,5.8 %,2.57,2.39,2.91,6
Felix Hernandez,4772,SEA,NULL,12,10,0,31,31,204.1,9.51,2.03,0.66,0.314,75.1 %,51.4 %,10.0 %,3.04,2.61,2.66,5.7
Cliff Lee,1636,PHI,NULL,14,8,0,31,31,222.2,8.97,1.29,0.89,0.287,76.7 %,44.3 %,10.9 %,2.87,2.82,2.78,5.5
Chris Sale,10603,CWS,NULL,11,14,0,30,30,214.1,9.49,1.93,0.97,0.289,77.0 %,46.6 %,12.5 %,3.07,3.17,2.95,4.9
Justin Verlander,8700,DET,NULL,13,12,0,34,34,218.1,8.95,3.09,0.78,0.316,74.5 %,38.4 %,7.8 %,3.46,3.28,3.67,4.9
Mat Latos,3815,CIN,NULL,14,7,0,32,32,210.2,7.99,2.48,0.6,0.299,74.6 %,45.1 %,6.9 %,3.16,3.1,3.56,4.8
