NAME,PLAYERID,TEAM_1,TEAM_2,WINS,LOSSES,SAVES,GAMES_PITCHED,GAMES_STARTED,INNINGS_PITCHED,STRIKEOUTS_PER_NINE_INNINGS,WALKS_PER_NINE_INNINGS,HOME_RUNS_PER_NINE_INNINGS,BABIP,LEFT_ON_BASE_PERCENT,GROUND_BALL_PERCENT,HOME_RUN_TO_FLY_BALL,EARNED_RUN_AVERAGE,FIELDING_INDEPENDENT_PITCHING,EXPECTED_FIELDING_INDEPENDENT_PITCHING,WINS_ABOVE_REPLACEMENT
Cole Hamels,4972,PHI,NULL,8,14,0,33,33,220,8.26,2.05,0.86,0.295,72.5 %,42.7 %,9.1 %,3.6,3.26,3.44,4.5
Yu Darvish,13074,TEX,NULL,13,9,0,32,32,209.2,11.89,3.43,1.12,0.264,83.9 %,41.0 %,14.4 %,2.83,3.28,2.84,4.5
David Price,3184,TBA,NULL,10,8,0,27,27,186.2,7.28,1.3,0.77,0.298,70.0 %,44.9 %,8.6 %,3.33,3.03,3.27,4.4
Derek Holland,4141,TEX,NULL,10,9,0,33,33,213,7.99,2.7,0.85,0.307,75.1 %,40.8 %,8.8 %,3.42,3.44,3.68,4.3
A.J. Burnett,512,PIT,NULL,10,11,0,30,30,191,9.85,3.16,0.52,0.305,71.8 %,56.5 %,9.1 %,3.3,2.8,2.92,4.2
Doug Fister,9425,DET,NULL,14,9,0,33,32,208.2,6.86,1.9,0.6,0.332,73.5 %,54.3 %,8.9 %,3.67,3.26,3.42,4.2
Homer Bailey,8362,CIN,NULL,11,12,0,32,32,209,8.57,2.33,0.86,0.284,73.7 %,46.1 %,10.2 %,3.49,3.31,3.34,4.1
Jose Fernandez,11530,MIA,NULL,12,6,0,28,28,172.2,9.75,3.02,0.52,0.24,79.4 %,45.1 %,7.1 %,2.19,2.73,3.08,4.1
James Shields,7059,KCA,NULL,13,9,0,34,34,228.2,7.71,2.68,0.79,0.298,79.5 %,41.6 %,8.6 %,3.15,3.47,3.72,4
Jhoulys Chacin,2608,COL,NULL,14,10,0,31,31,197.1,5.75,2.78,0.5,0.288,71.9 %,46.8 %,6.2 %,3.47,3.47,3.97,3.9
Hisashi Iwakuma,13048,SEA,NULL,14,6,0,33,33,219.2,7.58,1.72,1.02,0.252,81.9 %,48.7 %,11.8 %,2.66,3.44,3.28,3.9
Bartolo Colon,375,OAK,NULL,18,6,0,30,30,190.1,5.53,1.37,0.66,0.294,80.0 %,41.5 %,6.0 %,2.65,3.23,3.95,3.8
Madison Bumgarner,5524,SFN,NULL,13,9,0,31,31,201.1,8.9,2.77,0.67,0.251,75.7 %,46.8 %,8.2 %,2.77,3.05,3.32,3.8
Jordan Zimmermann,4505,WSH,NULL,19,9,0,32,32,213.1,6.79,1.69,0.8,0.271,74.4 %,47.6 %,9.5 %,3.25,3.36,3.48,3.7
Hiroki Kuroda,3283,NYY,NULL,11,13,0,32,32,201.1,6.71,1.92,0.89,0.282,75.8 %,46.6 %,10.3 %,3.31,3.56,3.6,3.7
Lance Lynn,2520,STL,NULL,15,10,0,33,33,201.2,8.84,3.39,0.62,0.314,71.8 %,43.1 %,7.4 %,3.97,3.28,3.66,3.7
Hyun-Jin Ryu,14444,LAD,NULL,14,8,0,30,30,192,7.22,2.3,0.7,0.296,78.2 %,50.6 %,8.7 %,3,3.24,3.46,3.6
Justin Masterson,2038,CLE,NULL,14,10,0,32,29,193,9.09,3.54,0.61,0.285,75.4 %,58.0 %,10.7 %,3.45,3.35,3.33,3.5
Mike Minor,10021,ATL,NULL,13,9,0,32,32,204.2,7.96,2.02,0.97,0.272,75.1 %,35.0 %,8.8 %,3.21,3.37,3.64,3.5
Jose Quintana,11423,CWS,NULL,9,7,0,33,33,200,7.38,2.52,1.03,0.283,76.6 %,42.5 %,10.2 %,3.51,3.82,3.86,3.5
Patrick Corbin,9323,ARI,NULL,14,8,0,32,32,208.1,7.69,2.33,0.82,0.283,75.9 %,46.7 %,10.1 %,3.41,3.43,3.48,3.5
Jon Lester,4930,BOS,NULL,15,8,0,33,33,213.1,7.47,2.83,0.8,0.3,73.7 %,45.0 %,8.3 %,3.75,3.59,3.9,3.5
Ubaldo Jimenez,3374,CLE,NULL,13,9,0,32,32,182.2,9.56,3.94,0.79,0.304,76.5 %,43.9 %,9.0 %,3.3,3.43,3.62,3.4
Zack Greinke,1943,LAD,NULL,15,4,0,28,28,177.2,7.5,2.33,0.66,0.276,80.8 %,45.6 %,8.6 %,2.63,3.23,3.45,3.4
Stephen Strasburg,10131,WSH,NULL,8,9,0,30,30,183,9.39,2.75,0.79,0.263,73.2 %,51.5 %,11.1 %,3,3.21,3.15,3.3
Francisco Liriano,3201,PIT,NULL,16,8,0,26,26,161,9.11,3.52,0.5,0.29,77.6 %,50.5 %,8.3 %,3.02,2.92,3.12,3.3
Ricky Nolasco,3830,- - -,NULL,13,11,0,34,33,199.1,7.45,2.08,0.77,0.299,70.9 %,43.0 %,8.7 %,3.7,3.34,3.58,3.2
Gio Gonzalez,7448,WSH,NULL,11,8,0,32,32,195.2,8.83,3.5,0.78,0.286,75.3 %,43.9 %,9.7 %,3.36,3.41,3.51,3.2
C.J. Wilson,3580,LAA,NULL,17,7,0,33,33,212.1,7.97,3.6,0.64,0.3,73.5 %,44.4 %,7.2 %,3.39,3.51,3.93,3.2
Eric Stults,8011,SDN,NULL,11,13,0,33,33,203.2,5.79,1.77,0.8,0.302,69.6 %,40.4 %,6.9 %,3.93,3.53,4.13,3.1
Andy Pettitte,840,NYY,NULL,11,11,0,30,30,185.1,6.22,2.33,0.83,0.308,72.9 %,46.0 %,9.1 %,3.74,3.7,3.88,3.1
Koji Uehara,9227,BOS,NULL,4,1,21,73,0,74.1,12.23,1.09,0.61,0.188,91.7 %,40.4 %,6.8 %,1.09,1.61,2.08,3.1
Greg Holland,7196,KCA,NULL,2,1,47,68,0,67,13.84,2.42,0.4,0.282,87.4 %,39.4 %,6.8 %,1.21,1.36,1.68,3
Rick Porcello,2717,DET,NULL,13,8,0,32,29,177,7.22,2.14,0.92,0.315,69.8 %,55.3 %,14.1 %,4.32,3.53,3.19,2.9
Corey Kluber,2429,CLE,NULL,11,5,0,26,24,147.1,8.31,2.02,0.92,0.329,72.9 %,45.5 %,12.4 %,3.85,3.3,3.1,2.8
Clay Buchholz,3543,BOS,NULL,12,1,0,16,16,108.1,7.98,2.99,0.33,0.254,83.7 %,47.7 %,4.5 %,1.74,2.78,3.41,2.8
Travis Wood,9884,CHC,NULL,9,12,0,32,32,200,6.48,2.97,0.81,0.248,77.4 %,33.2 %,6.9 %,3.11,3.89,4.5,2.7
Scott Kazmir,4897,CLE,NULL,10,9,0,29,29,158,9.23,2.68,1.08,0.324,73.4 %,40.9 %,11.6 %,4.04,3.51,3.36,2.7
Jeff Samardzija,3254,CHC,NULL,8,13,0,33,33,213.2,9.01,3.29,1.05,0.314,71.7 %,48.2 %,13.3 %,4.34,3.77,3.45,2.7
Bud Norris,9492,- - -,NULL,10,12,0,32,30,176.2,7.49,3.41,0.87,0.333,73.3 %,40.2 %,8.1 %,4.18,3.86,4.22,2.7
Andrew Cashner,8782,SDN,NULL,10,9,0,31,26,175,6.58,2.42,0.62,0.269,72.4 %,52.5 %,8.1 %,3.09,3.35,3.62,2.6
Kris Medlen,9417,ATL,NULL,15,12,0,32,31,197,7.17,2.15,0.82,0.298,76.9 %,45.3 %,9.9 %,3.11,3.48,3.55,2.6
Jorge De La Rosa,2047,COL,NULL,16,6,0,30,30,167.2,6.01,3.33,0.59,0.303,75.4 %,47.3 %,7.7 %,3.49,3.76,4.08,2.6
CC Sabathia,404,NYY,NULL,14,13,0,32,32,211,7.46,2.77,1.19,0.308,67.4 %,44.7 %,13.0 %,4.78,4.1,3.76,2.6
Mark Melancon,4264,PIT,NULL,3,2,16,72,0,71,8.87,1.01,0.13,0.296,79.9 %,60.3 %,3.2 %,1.39,1.64,2.05,2.5
Alex Cobb,6562,TBA,NULL,11,3,0,22,22,143.1,8.41,2.83,0.82,0.279,81.4 %,55.8 %,14.8 %,2.76,3.36,3.02,2.5
Gerrit Cole,13125,PIT,NULL,10,7,0,19,19,117.1,7.67,2.15,0.54,0.308,74.5 %,49.1 %,8.1 %,3.22,2.91,3.14,2.5
Julio Teheran,6797,ATL,NULL,14,8,0,30,30,185.2,8.24,2.18,1.07,0.288,80.9 %,37.8 %,10.1 %,3.2,3.69,3.76,2.5
Ervin Santana,3200,KCA,NULL,9,10,0,32,32,211,6.87,2.18,1.11,0.267,76.9 %,46.2 %,12.4 %,3.24,3.93,3.69,2.5
Ivan Nova,1994,NYY,NULL,9,6,0,23,20,139.1,7.49,2.84,0.58,0.313,79.8 %,53.5 %,8.4 %,3.1,3.47,3.68,2.5
Shelby Miller,10197,STL,NULL,15,9,0,31,31,173.1,8.77,2.96,1.04,0.28,80.1 %,38.4 %,10.1 %,3.06,3.67,3.73,2.4
John Lackey,1507,BOS,NULL,10,13,0,29,29,189.1,7.65,1.9,1.24,0.281,76.9 %,46.8 %,13.3 %,3.52,3.86,3.49,2.4
Kenley Jansen,3096,LAD,NULL,4,3,28,75,0,76.2,13.03,2.11,0.7,0.273,87.5 %,37.3 %,9.8 %,1.88,1.99,2.06,2.4
Joe Nathan,1122,TEX,NULL,6,2,43,67,0,64.2,10.16,3.06,0.28,0.224,87.2 %,32.0 %,3.0 %,1.39,2.26,3.27,2.3
Jered Weaver,4235,LAA,NULL,11,8,0,24,24,154.1,6.82,2.16,0.99,0.268,78.5 %,30.8 %,7.8 %,3.27,3.82,4.31,2.3
Kyle Lohse,739,MIL,NULL,11,10,0,32,32,198.2,5.66,1.63,1.18,0.276,79.1 %,40.2 %,10.8 %,3.35,4.08,4.03,2.3
Trevor Rosenthal,10745,STL,NULL,2,4,3,74,0,75.1,12.9,2.39,0.48,0.341,76.7 %,44.4 %,6.5 %,2.63,1.91,2.34,2.3
Mark Buehrle,225,TOR,NULL,12,10,0,33,33,203.2,6.14,2.25,1.06,0.305,73.4 %,45.3 %,10.6 %,4.15,4.1,4.09,2.3
Craig Kimbrel,6655,ATL,NULL,4,3,50,68,0,67,13.16,2.69,0.54,0.263,92.2 %,47.4 %,10.3 %,1.21,1.93,1.95,2.3
Felix Doubront,1478,BOS,NULL,11,6,0,29,27,162.1,7.71,3.94,0.72,0.31,69.9 %,45.6 %,7.8 %,4.32,3.78,4.14,2.2
Yovani Gallardo,8173,MIL,NULL,12,10,0,31,31,180.2,7.17,3.29,0.9,0.299,70.2 %,49.2 %,11.9 %,4.18,3.89,3.74,2.2
Jake Peavy,1051,- - -,NULL,12,5,0,23,23,144.2,7.53,2.24,1.24,0.268,70.0 %,32.7 %,10.1 %,4.17,3.96,4.03,2.1
Jon Niese,4424,NYM,NULL,8,8,0,24,24,143,6.61,3.02,0.63,0.326,72.5 %,51.5 %,8.2 %,3.71,3.58,3.84,2.1
Scott Feldman,6283,- - -,NULL,12,12,0,30,30,181.2,6.54,2.77,0.94,0.258,69.4 %,49.6 %,11.0 %,3.86,4.03,3.96,2
Mike Pelfrey,5203,MIN,NULL,5,13,0,29,29,152.2,5.95,3.12,0.77,0.337,67.2 %,43.2 %,7.0 %,5.19,3.99,4.54,2
Mike Leake,10130,CIN,NULL,14,7,0,31,31,192.1,5.71,2.25,0.98,0.285,77.7 %,48.7 %,11.5 %,3.37,4.04,3.91,2
Matt Garza,3340,- - -,NULL,10,6,0,24,24,155.1,7.88,2.43,1.16,0.29,73.4 %,38.6 %,11.6 %,3.82,3.88,3.73,2
Kyle Kendrick,6230,PHI,NULL,10,13,0,30,30,182,5.44,2.32,0.89,0.306,66.6 %,49.4 %,9.5 %,4.7,4.01,4.15,2
Nate Jones,4696,CWS,NULL,4,5,0,70,0,78,10.27,3,0.58,0.33,62.9 %,50.5 %,9.1 %,4.15,2.64,2.77,2
Edwin Jackson,1841,CHC,NULL,8,18,0,31,31,175.1,6.93,3.03,0.82,0.322,63.3 %,51.3 %,9.9 %,4.98,3.79,3.86,2
Wei-Yin Chen,13071,BAL,NULL,7,7,0,23,23,137,6.83,2.56,1.12,0.305,76.0 %,34.4 %,9.9 %,4.07,4.04,4.14,2
Jesse Crain,4817,CWS,NULL,2,3,0,38,0,36.2,11.29,2.7,0,0.33,86.1 %,34.8 %,0.0 %,0.74,1.52,2.94,1.9
Chris Tillman,5279,BAL,NULL,16,7,0,33,33,206.1,7.81,2.97,1.44,0.269,80.5 %,38.6 %,14.2 %,3.71,4.42,3.88,1.9
Tyson Ross,7872,SDN,NULL,3,8,0,35,16,125,8.57,3.17,0.58,0.282,71.5 %,54.9 %,8.2 %,3.17,3.2,3.43,1.9
Dillon Gee,7396,NYM,NULL,12,11,0,32,32,199,6.42,2.13,1.09,0.296,77.9 %,42.6 %,10.1 %,3.62,4,4.07,1.9
Matt Moore,1890,TBA,NULL,17,4,0,27,27,150.1,8.56,4.55,0.84,0.259,78.6 %,39.4 %,8.0 %,3.29,3.95,4.32,1.8
Marco Estrada,1118,MIL,NULL,7,4,0,21,21,128,8.3,2.04,1.34,0.262,74.1 %,37.6 %,11.9 %,3.87,3.86,3.63,1.8
Danny Farquhar,8501,SEA,NULL,0,3,16,46,0,55.2,12.77,3.56,0.32,0.336,58.5 %,42.1 %,4.9 %,4.2,1.86,2.4,1.8
Henderson Alvarez,5669,MIA,NULL,5,6,0,17,17,102.2,5,2.37,0.18,0.271,67.7 %,53.5 %,2.6 %,3.59,3.18,3.97,1.8
Juan Nicasio,7731,COL,NULL,9,9,0,31,31,157.2,6.79,3.65,0.97,0.303,65.7 %,45.1 %,10.0 %,5.14,4.25,4.32,1.8
Dan Straily,9460,OAK,NULL,10,8,0,27,27,152.1,7.33,3.37,0.95,0.266,70.3 %,36.4 %,8.2 %,3.96,4.05,4.42,1.8
Drew Smyly,11760,DET,NULL,6,0,2,63,0,76,9.59,2.01,0.47,0.29,80.7 %,43.4 %,5.3 %,2.37,2.31,2.99,1.8
Tim Hudson,921,ATL,NULL,8,7,0,21,21,131.1,6.51,2.47,0.69,0.281,68.1 %,55.8 %,9.5 %,3.97,3.46,3.56,1.8
Wade Miley,8779,ARI,NULL,10,10,0,33,33,202.2,6.53,2.93,0.93,0.296,75.8 %,52.0 %,12.5 %,3.55,3.98,3.77,1.8
Tyler Chatwood,4338,COL,NULL,8,5,0,20,20,111.1,5.34,3.31,0.4,0.314,76.3 %,58.5 %,6.7 %,3.15,3.66,4,1.8
Tim Lincecum,5705,SFN,NULL,10,14,0,32,32,197.2,8.79,3.46,0.96,0.3,69.4 %,45.3 %,12.1 %,4.37,3.74,3.56,1.8
Aroldis Chapman,10233,CIN,NULL,4,5,38,68,0,63.2,15.83,4.1,0.99,0.28,86.2 %,33.6 %,14.6 %,2.54,2.47,2.07,1.7
Neal Cotts,1797,TEX,NULL,8,3,1,58,0,57,10.26,2.84,0.32,0.246,89.8 %,44.1 %,4.3 %,1.11,2.17,2.82,1.7
Brandon McCarthy,4662,ARI,NULL,5,11,0,22,22,135,5.07,1.4,0.87,0.32,68.7 %,48.2 %,10.3 %,4.53,3.75,3.77,1.7
R.A. Dickey,1245,TOR,NULL,14,13,0,34,34,224.2,7.09,2.84,1.4,0.265,73.2 %,40.3 %,12.7 %,4.21,4.58,4.23,1.7
Glen Perkins,8041,MIN,NULL,2,0,36,61,0,62.2,11.06,2.15,0.72,0.271,83.3 %,36.2 %,9.4 %,2.3,2.49,2.61,1.7
Miguel Gonzalez,7024,BAL,NULL,11,8,0,30,28,171.1,6.3,2.78,1.26,0.26,73.6 %,38.9 %,11.4 %,3.78,4.45,4.31,1.6
Zach McAllister,2895,CLE,NULL,9,9,0,24,24,134.1,6.77,3.28,0.87,0.295,72.6 %,37.1 %,7.5 %,3.75,4.03,4.53,1.6
Sean Doolittle,1581,OAK,NULL,5,5,2,70,0,69,7.83,1.7,0.52,0.262,70.5 %,33.0 %,4.6 %,3.13,2.71,3.68,1.6
Alex Wood,13781,ATL,NULL,3,3,0,31,11,77.2,8.92,3.13,0.35,0.333,75.2 %,49.1 %,5.1 %,3.13,2.65,3.18,1.6
David Robertson,8241,NYY,NULL,5,1,3,70,0,66.1,10.45,2.44,0.68,0.288,87.5 %,50.9 %,10.6 %,2.04,2.61,2.6,1.6
Dan Haren,1757,WSH,NULL,10,14,1,31,30,169.2,8.01,1.64,1.49,0.302,70.3 %,36.0 %,13.0 %,4.67,4.09,3.67,1.6
Jason Grilli,521,PIT,NULL,0,2,33,54,0,50,13.32,2.34,0.72,0.327,80.6 %,33.0 %,8.5 %,2.7,1.97,2.21,1.6
Addison Reed,10586,CWS,NULL,5,4,40,68,0,71.1,9.08,2.9,0.76,0.26,68.9 %,33.0 %,6.8 %,3.79,3.17,3.77,1.6
Tony Cingrani,12555,CIN,NULL,7,4,0,23,18,104.2,10.32,3.7,1.2,0.241,82.1 %,34.3 %,12.6 %,2.92,3.78,3.49,1.5
Ryan Cook,8855,OAK,NULL,6,4,2,71,0,67.1,8.96,3.34,0.27,0.306,78.2 %,46.7 %,3.0 %,2.54,2.74,3.71,1.5
Jeremy Hellickson,4371,TBA,NULL,12,10,0,32,31,174,6.98,2.59,1.24,0.307,66.2 %,39.6 %,10.9 %,5.17,4.22,4.15,1.5
Sonny Gray,12768,OAK,NULL,5,3,0,12,10,64,9.42,2.81,0.56,0.276,74.9 %,52.9 %,8.3 %,2.67,2.7,2.92,1.5
Matt Cain,4732,SFN,NULL,8,10,0,30,30,184.1,7.71,2.69,1.12,0.26,71.6 %,37.7 %,10.8 %,4,3.93,3.88,1.5
Brandon Kintzler,9939,MIL,NULL,3,3,0,71,0,77,6.78,1.87,0.23,0.281,71.1 %,57.4 %,4.9 %,2.69,2.54,2.93,1.5
Mariano Rivera,844,NYY,NULL,6,2,44,64,0,64,7.59,1.27,0.84,0.28,87.3 %,46.1 %,10.2 %,2.11,3.05,3.09,1.5
Charlie Morton,4676,PIT,NULL,7,4,0,20,20,116,6.59,2.79,0.47,0.306,72.8 %,62.9 %,9.2 %,3.26,3.6,3.69,1.5
Garrett Richards,9784,LAA,NULL,7,8,1,47,17,145,6.27,2.73,0.74,0.301,68.6 %,57.9 %,11.3 %,4.16,3.66,3.58,1.4
Jason Vargas,8044,LAA,NULL,9,8,0,24,24,150,6.54,2.76,1.02,0.31,76.6 %,40.2 %,9.2 %,4.02,4.09,4.29,1.4
Bobby Parnell,9926,NYM,NULL,5,5,22,49,0,50,7.92,2.16,0.18,0.264,68.6 %,51.8 %,2.8 %,2.16,2.33,3.05,1.4
Joaquin Benoit,1437,DET,NULL,4,1,24,66,0,67,9.81,2.96,0.67,0.256,87.3 %,42.3 %,8.1 %,2.01,2.87,3.16,1.4
Shaun Marcum,6204,NYM,NULL,1,10,0,14,12,78.1,6.89,2.41,0.8,0.322,61.9 %,34.9 %,7.0 %,5.29,3.64,4.22,1.4
Wily Peralta,7738,MIL,NULL,11,15,0,32,32,183.1,6.33,3.58,0.93,0.293,66.6 %,51.0 %,11.9 %,4.37,4.3,4.13,1.4
Tanner Roark,8753,WSH,NULL,7,1,0,14,5,53.2,6.71,1.84,0.17,0.243,79.8 %,50.0 %,2.6 %,1.51,2.41,3.14,1.4
Wade Davis,7441,KCA,NULL,8,11,0,31,24,135.1,7.58,3.86,1,0.361,67.6 %,40.5 %,10.7 %,5.32,4.18,4.15,1.4
Nathan Eovaldi,9132,MIA,NULL,4,6,0,18,18,106.1,6.6,3.39,0.59,0.286,73.9 %,43.8 %,6.4 %,3.39,3.59,4.15,1.4
Erik Bedard,126,HOU,NULL,4,12,1,32,26,151,8.23,4.47,1.07,0.308,71.8 %,36.4 %,9.1 %,4.59,4.38,4.61,1.4
Steve Cishek,6483,MIA,NULL,4,6,34,69,0,69.2,9.56,2.84,0.39,0.278,79.7 %,53.1 %,5.8 %,2.33,2.52,2.98,1.4
A.J. Griffin,11132,OAK,NULL,14,10,0,32,32,200,7.69,2.43,1.62,0.242,77.3 %,32.1 %,12.5 %,3.82,4.55,4.18,1.4
Alex Torres,7038,TBA,NULL,4,2,0,39,0,58,9.62,3.1,0.16,0.221,80.2 %,42.1 %,2.0 %,1.71,2.32,3.3,1.3
Fernando Rodney,494,TBA,NULL,5,4,37,68,0,66.2,11.07,4.86,0.41,0.298,73.4 %,50.6 %,7.1 %,3.38,2.84,3.11,1.3
Chris Capuano,1701,LAD,NULL,4,7,0,24,20,105.2,6.9,2.04,0.94,0.334,68.9 %,46.4 %,9.6 %,4.26,3.55,3.67,1.3
Hector Santiago,4026,CWS,NULL,4,9,0,34,23,149,8.28,4.35,1.03,0.289,77.4 %,36.4 %,9.2 %,3.56,4.44,4.65,1.3
Martin Perez,6902,TEX,NULL,10,6,0,20,20,124.1,6.08,2.68,1.09,0.292,77.0 %,48.1 %,12.0 %,3.62,4.23,4.04,1.3
Tyler Thornburg,10688,MIL,NULL,3,1,0,18,7,66.2,6.48,3.51,0.14,0.271,80.7 %,36.2 %,1.4 %,2.03,3.11,4.43,1.3
Steve Delabar,11827,TOR,NULL,5,5,1,55,0,58.2,12.58,4.45,0.61,0.338,74.3 %,29.4 %,6.2 %,3.22,2.72,3.35,1.3
Jeff Locke,2929,PIT,NULL,10,7,0,30,30,166.1,6.76,4.55,0.6,0.278,75.7 %,53.2 %,8.9 %,3.52,4.03,4.19,1.3
Chris Archer,6345,TBA,NULL,9,7,0,23,23,128.2,7.06,2.66,1.05,0.253,78.8 %,46.8 %,11.7 %,3.22,4.07,3.91,1.3
Brett Oberholtzer,3855,HOU,NULL,4,5,0,13,10,71.2,5.65,1.63,0.88,0.26,76.9 %,35.6 %,7.1 %,2.76,3.65,4.27,1.3
Matt Belisle,1837,COL,NULL,5,7,0,72,0,73,7.64,1.85,0.74,0.321,65.4 %,48.6 %,10.9 %,4.32,3.03,2.99,1.2
Michael Wacha,14078,STL,NULL,4,1,0,15,9,64.2,9.05,2.64,0.7,0.275,79.7 %,44.3 %,7.4 %,2.78,2.92,3.36,1.2
Phil Hughes,7450,NYY,NULL,4,14,0,30,29,145.2,7.48,2.59,1.48,0.324,68.7 %,30.8 %,11.1 %,5.19,4.5,4.39,1.2
Jarrod Parker,4913,OAK,NULL,12,8,0,32,32,197,6.12,2.88,1.14,0.26,73.2 %,41.2 %,10.5 %,3.97,4.4,4.41,1.2
Casey Janssen,7355,TOR,NULL,4,1,34,56,0,52.2,8.54,2.22,0.51,0.254,74.3 %,47.9 %,7.1 %,2.56,2.74,3.09,1.2
Kevin Correia,1767,MIN,NULL,9,13,0,31,31,185.1,4.9,2.19,1.17,0.313,76.1 %,44.0 %,11.7 %,4.18,4.4,4.24,1.2
Danny Salazar,5867,CLE,NULL,2,3,0,10,10,52,11.25,2.6,1.21,0.298,83.3 %,34.4 %,13.7 %,3.12,3.16,2.75,1.2
Bronson Arroyo,978,CIN,NULL,14,12,0,32,32,202,5.52,1.51,1.43,0.267,77.9 %,44.4 %,14.0 %,3.79,4.49,3.97,1.2
Tommy Milone,7608,OAK,NULL,12,9,0,28,26,156.1,7.25,2.25,1.44,0.284,71.1 %,35.2 %,11.3 %,4.14,4.3,4.15,1.2
Luke Gregerson,4090,SDN,NULL,6,8,4,73,0,66.1,8.68,2.44,0.41,0.257,70.4 %,45.5 %,4.9 %,2.71,2.7,3.37,1.2
Chad Gaudin,1783,SFN,NULL,5,2,0,30,12,97,8.16,3.71,0.56,0.278,77.7 %,38.4 %,5.8 %,3.06,3.34,4,1.2
Nick Vincent,7555,SDN,NULL,6,3,1,45,0,46.1,9.52,2.14,0.19,0.274,78.5 %,42.9 %,2.6 %,2.14,2.06,2.89,1.2
Sergio Romo,9817,SFN,NULL,5,8,38,65,0,60.1,8.65,1.79,0.75,0.276,78.0 %,40.7 %,7.9 %,2.54,2.85,3.2,1.2
Bruce Chen,769,KCA,NULL,9,4,0,34,15,121,5.8,2.68,0.97,0.255,78.3 %,27.7 %,6.7 %,3.27,4.12,4.93,1.1
Adam Ottavino,1247,COL,NULL,1,3,0,51,0,78.1,8.96,3.56,0.57,0.311,79.8 %,45.6 %,7.1 %,2.64,3.15,3.54,1.1
Craig Stammen,7274,WSH,NULL,7,6,0,55,0,81.2,8.71,2.98,0.44,0.326,75.9 %,59.7 %,7.4 %,2.76,2.82,3.08,1.1
Luke Hochevar,6943,KCA,NULL,5,2,2,58,0,70.1,10.49,2.18,1.02,0.214,92.1 %,35.0 %,11.0 %,1.92,2.96,2.9,1.1
David Phelps,6316,NYY,NULL,6,5,0,22,12,86.2,8.2,3.63,0.83,0.321,66.8 %,42.5 %,8.9 %,4.98,3.81,4.03,1.1
Jonathan Papelbon,5975,PHI,NULL,5,1,29,61,0,61.2,8.32,1.61,0.88,0.296,76.7 %,39.9 %,7.7 %,2.92,3.05,3.51,1.1
J.A. Happ,7410,TOR,NULL,5,7,0,18,18,92.2,7.48,4.37,0.97,0.288,68.6 %,36.5 %,7.6 %,4.56,4.31,4.84,1.1
Dallas Keuchel,9434,HOU,NULL,6,10,0,31,22,153.2,7.2,3.05,1.17,0.34,68.1 %,55.8 %,17.4 %,5.15,4.25,3.58,1.1
LaTroy Hawkins,729,NYM,NULL,3,2,13,72,0,70.2,7,1.27,0.76,0.301,74.7 %,48.4 %,10.0 %,2.93,3.06,3.12,1
Cody Allen,12183,CLE,NULL,6,1,2,77,0,70.1,11.26,3.33,0.9,0.307,84.6 %,30.2 %,8.6 %,2.43,2.99,3.27,1
Charlie Furbush,1370,SEA,NULL,2,6,0,71,0,65,11.08,4.02,0.69,0.264,64.4 %,40.1 %,8.1 %,3.74,3.06,3.37,1
